run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR11673965	SAMN14825673	SRX8234977	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/065/SRR11673965/SRR11673965_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/065/SRR11673965/SRR11673965_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/065/SRR11673965	
SRR11673970	SAMN14825714	SRX8234972	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/070/SRR11673970/SRR11673970_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/070/SRR11673970	
SRR11673972	SAMN14825708	SRX8234970	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/072/SRR11673972/SRR11673972_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/072/SRR11673972	
SRR11673976	SAMN14825672	SRX8234966	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/076/SRR11673976/SRR11673976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/076/SRR11673976/SRR11673976_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/076/SRR11673976	
SRR11673985	SAMN14825672	SRX8234957	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/085/SRR11673985/SRR11673985_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/085/SRR11673985	
SRR11673987	SAMN14825671	SRX8234955	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/087/SRR11673987/SRR11673987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/087/SRR11673987/SRR11673987_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/087/SRR11673987	
SRR11673989	SAMN14825732	SRX8234953	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/089/SRR11673989/SRR11673989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/089/SRR11673989/SRR11673989_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/089/SRR11673989	
SRR11673990	SAMN14825731	SRX8234952	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/090/SRR11673990/SRR11673990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/090/SRR11673990/SRR11673990_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/090/SRR11673990	
SRR11673993	SAMN14825728	SRX8234949	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/093/SRR11673993/SRR11673993_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/093/SRR11673993/SRR11673993_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/093/SRR11673993	
SRR11674004	SAMN14825718	SRX8234938	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/004/SRR11674004/SRR11674004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/004/SRR11674004/SRR11674004_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/004/SRR11674004	
