run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR16955655	SAMN23169438	SRX13147289	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/055/SRR16955655/SRR16955655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/055/SRR16955655/SRR16955655_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/055/SRR16955655	
SRR16955656	SAMN23169437	SRX13147288	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/056/SRR16955656/SRR16955656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/056/SRR16955656/SRR16955656_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/056/SRR16955656	
SRR16955657	SAMN23169436	SRX13147287	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/057/SRR16955657/SRR16955657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/057/SRR16955657/SRR16955657_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/057/SRR16955657	
SRR16955666	SAMN23169428	SRX13147278	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/066/SRR16955666/SRR16955666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/066/SRR16955666/SRR16955666_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/066/SRR16955666	
SRR16955668	SAMN23169426	SRX13147276	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/068/SRR16955668/SRR16955668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/068/SRR16955668/SRR16955668_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/068/SRR16955668	
SRR16955673	SAMN23169422	SRX13147271	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/073/SRR16955673/SRR16955673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/073/SRR16955673/SRR16955673_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/073/SRR16955673	
SRR16955676	SAMN23169419	SRX13147268	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/076/SRR16955676/SRR16955676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/076/SRR16955676/SRR16955676_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/076/SRR16955676	
SRR16955677	SAMN23169418	SRX13147267	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/077/SRR16955677/SRR16955677_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/077/SRR16955677/SRR16955677_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/077/SRR16955677	
SRR16955685	SAMN23169411	SRX13147259	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/085/SRR16955685/SRR16955685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/085/SRR16955685/SRR16955685_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/085/SRR16955685	
SRR16955687	SAMN23169409	SRX13147257	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/087/SRR16955687/SRR16955687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/087/SRR16955687/SRR16955687_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/087/SRR16955687	
SRR16955695	SAMN23169402	SRX13147249	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/095/SRR16955695/SRR16955695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/095/SRR16955695/SRR16955695_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/095/SRR16955695	
