run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR18490941	SAMN26980383	SRX14622787	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/041/SRR18490941/SRR18490941_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/041/SRR18490941	
SRR18490946	SAMN26980378	SRX14622782	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/046/SRR18490946/SRR18490946_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/046/SRR18490946	
SRR18490947	SAMN26980377	SRX14622781	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/047/SRR18490947/SRR18490947_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/047/SRR18490947	
SRR18490949	SAMN26980375	SRX14622779	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/049/SRR18490949/SRR18490949_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/049/SRR18490949	
SRR18490951	SAMN26980374	SRX14622777	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/051/SRR18490951/SRR18490951_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/051/SRR18490951	
SRR18490955	SAMN26980075	SRX14622773	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/055/SRR18490955/SRR18490955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/055/SRR18490955/SRR18490955_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/055/SRR18490955	
SRR18490957	SAMN26980344	SRX14622771	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/057/SRR18490957/SRR18490957_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/057/SRR18490957	
SRR18490965	SAMN26980336	SRX14622763	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/065/SRR18490965/SRR18490965_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/065/SRR18490965	
SRR18490966	SAMN26980335	SRX14622762	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/066/SRR18490966/SRR18490966_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/066/SRR18490966	
SRR18490967	SAMN26980074	SRX14622761	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/067/SRR18490967/SRR18490967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/067/SRR18490967/SRR18490967_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/067/SRR18490967	
