run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR9769237	SAMEA14431117	ERX9317433	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/007/ERR9769237/ERR9769237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/007/ERR9769237/ERR9769237_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769237/4775_D_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769237/4775_D_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/007/ERR9769237.bam
ERR9769239	SAMEA14431119	ERX9317435	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/009/ERR9769239/ERR9769239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/009/ERR9769239/ERR9769239_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769239/4775_E_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769239/4775_E_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/009/ERR9769239.bam
ERR9769240	SAMEA14431120	ERX9317436	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/000/ERR9769240/ERR9769240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/000/ERR9769240/ERR9769240_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769240/4775_Y_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769240/4775_Y_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/000/ERR9769240.bam
ERR9769242	SAMEA14431122	ERX9317438	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/002/ERR9769242/ERR9769242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/002/ERR9769242/ERR9769242_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769242/4775_F_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769242/4775_F_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/002/ERR9769242.bam
ERR9769247	SAMEA14431127	ERX9317443	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/007/ERR9769247/ERR9769247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/007/ERR9769247/ERR9769247_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769247/4775_AC_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769247/4775_AC_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/007/ERR9769247.bam
ERR9769251	SAMEA14431131	ERX9317447	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/001/ERR9769251/ERR9769251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/001/ERR9769251/ERR9769251_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769251/4775_L_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769251/4775_L_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/001/ERR9769251.bam
ERR9769255	SAMEA14431135	ERX9317451	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/005/ERR9769255/ERR9769255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/005/ERR9769255/ERR9769255_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769255/4775_P_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769255/4775_P_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/005/ERR9769255.bam
ERR9769256	SAMEA14431136	ERX9317452	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/006/ERR9769256/ERR9769256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/006/ERR9769256/ERR9769256_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769256/4775_Q_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769256/4775_Q_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/006/ERR9769256.bam
ERR9769276	SAMEA14431081	ERX9317472	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/006/ERR9769276/ERR9769276.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769276/4678_B_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/006/ERR9769276.bam
ERR9769279	SAMEA14431084	ERX9317475	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/009/ERR9769279/ERR9769279.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769279/4678_AE_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/009/ERR9769279.bam
